,title_source,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids,title
69,Tacit Coordination in Social Dilemmas: The Importance of Having a Common Understanding,"Eric van Dijk, Erik W. de Kwaadsteniet, David De Cremer",American Psychological Association (APA),2009-03,10.1037/a0012976,pub.1041499627,"Previous research has indicated that in social dilemmas, people tacitly coordinate their decisions by using the equal division rule. In 3 experimental studies, the authors investigated the extent to which a common understanding about task and behavioral requirements is essential for the tacit coordination process. The results show that people are less likely to coordinate on the equal division rule when collective feedback on past performance (Study 1), the distribution of information within the group (Study 2), or expected behavioral variance (Study 3) suggests that a common understanding in the group is lacking. Moreover, the results indicate that under these conditions, rather than adhering to the equal division rule, people base their decisions on their own social value orientations. The findings support the view that if situations provide insufficient cues for tacit coordination, people are more likely to decide on the basis of their personal characteristics.",,Journal of Personality and Social Psychology,96,3,41,"['Adult', 'Analysis of Variance', 'Choice Behavior', 'Comprehension', 'Cooperative Behavior', 'Cues', 'Decision Making', 'Female', 'Group Processes', 'Humans', 'Male', 'Netherlands', 'Social Behavior', 'Social Conformity', 'Social Values', 'Students', 'Task Performance and Analysis', 'Young Adult']","['pub.1012713213', 'pub.1040529180', 'pub.1007590264', 'pub.1021010490', 'pub.1005336122', 'pub.1043001160', 'pub.1019590876', 'pub.1024012146', 'pub.1042723142', 'pub.1044169037', 'pub.1043010532', 'pub.1006674865', 'pub.1005550954', 'pub.1003749494', 'pub.1001062742', 'pub.1064222197', 'pub.1019680597', 'pub.1004915033', 'pub.1011686955', 'pub.1046488803', 'pub.1020804279', 'pub.1045174319', 'pub.1013199281', 'pub.1049963917', 'pub.1000773118', 'pub.1011343128', 'pub.1046737384', 'pub.1023129864', 'pub.1050152626', 'pub.1017267841', 'pub.1022818952', 'pub.1012462781', 'pub.1032406895', 'pub.1064218746', 'pub.1044976084', 'pub.1028355711', 'pub.1044376069', 'pub.1013702671', 'pub.1025122948', 'pub.1036089586']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
70,Interpersonal Relations: Mixed-Motive Interaction,"Samuel S. Komorita, Craig D. Parks",Annual Reviews,1995-01,10.1146/annurev.ps.46.020195.001151,pub.1019590876,,,Annual Review of Psychology,46,1,317,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
71,Do Not Prime Hawks With Doves: The Interplay of Construct Activation and Consistency of Social Value Orientation on Cooperative Behavior,"Dirk Smeesters, Luk Warlop, Eddy Van Avermaet, Olivier Corneille, Vincent Yzerbyt",American Psychological Association (APA),2003-05,10.1037/0022-3514.84.5.972,pub.1015465163,"Low and high consistent pro-socials and pro-selfs were primed with neutral, morality, or might concepts in mixed-motive situations. The authors expected participants' social value orientation to influence cooperative behavior among (a) high consistent individuals in all prime conditions and (b) low consistent individuals in the neutral prime condition only. The authors also expected the primes to influence cooperative behavior more among low than high consistent individuals. Four experiments using supra-liminal (Experiments 1, 2, and 4) or subliminal (Experiment 3) priming and 2-person (Experiments 1-3) or N-person (Experiment 4) social dilemmas partially supported these initial predictions. One intriguing exception was that morality primes reduced cooperation among high consistent pro-selfs. Experiments 2-4 allowed testing for the potential role of expectations in shaping participants' cooperative behavior.",,Journal of Personality and Social Psychology,84,5,108,"['Adult', 'Analysis of Variance', 'Cooperative Behavior', 'Cues', 'Female', 'Game Theory', 'Humans', 'Male', 'Morals', 'Orientation', 'Social Values', 'Students', 'Task Performance and Analysis', 'Word Association Tests']","['pub.1050617223', 'pub.1014031821', 'pub.1040529180', 'pub.1024603792', 'pub.1015535232', 'pub.1003400446', 'pub.1031873810', 'pub.1019406912', 'pub.1031359002', 'pub.1034438369', 'pub.1026694145', 'pub.1041073317', 'pub.1035048501', 'pub.1040672055', 'pub.1034972884', 'pub.1001062742', 'pub.1024201863', 'pub.1039202528', 'pub.1038901771', 'pub.1011686955', 'pub.1006727507', 'pub.1004623914', 'pub.1035553078', 'pub.1050393151', 'pub.1046983613', 'pub.1039723474', 'pub.1031295992', 'pub.1043950259', 'pub.1036377982', 'pub.1053503807', 'pub.1000773118', 'pub.1046737384', 'pub.1051165083', 'pub.1017267841', 'pub.1031315487', 'pub.1038058735', 'pub.1036737060', 'pub.1067636175', 'pub.1003868587', 'pub.1042943492', 'pub.1043453761', 'pub.1023600022', 'pub.1046723621', 'pub.1026994570', 'pub.1049051451', 'pub.1025293489', 'pub.1014832305', 'pub.1013702671', 'pub.1025122948', 'pub.1034656943', 'pub.1067636443', 'pub.1036089586', 'pub.1049012862']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
72,Punishing free-riders: How group size affects mutual monitoring and the provision of public goods,Jeffrey P. Carpenter,Elsevier,2007-07,10.1016/j.geb.2006.08.011,pub.1000835642,"Because costly punishment is not credible, subgame perfection suggests that punishment will not deter free riding, regardless of the size or structure of groups. However, experiments show that people will punish free riders, even at considerable cost. To examine the implications of agents who punish, we simulate an environment populated with behavioral strategies seen in the lab and use the simulation to develop hypotheses about why group size should matter when punishment is allowed. We test these hypotheses experimentally and examine whether the effect of group size is purely due to the number of group members or if information about other group members is what is important. We find that large groups contribute at rates no lower than small groups because punishment does not fall appreciably in large groups. However, hindrances to monitoring do reduce the provision of the public good.",,Games and Economic Behavior,60,1,244,,"['pub.1019337639', 'pub.1028102305', 'pub.1025957680', 'pub.1015483732', 'pub.1027027682', 'pub.1030346116', 'pub.1020130840', 'pub.1099258654', 'pub.1064530071', 'pub.1049296888', 'pub.1034295163', 'pub.1019698618', 'pub.1045678721', 'pub.1032491638', 'pub.1069624268', 'pub.1002501103', 'pub.1064527132', 'pub.1058623913', 'pub.1003690336', 'pub.1069971262', 'pub.1010947852', 'pub.1052038445', 'pub.1023702863']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
73,Coordination Rules in Asymmetric Social Dilemmas: A Comparison between Public Good Dilemmas and Resource Dilemmas,"Eric van Dijk, Henk Wilke",Elsevier,1995-01,10.1006/jesp.1995.1001,pub.1042723142,"The present study focuses on differences between Public Good Dilemmas and Resource Dilemmas. As members of a four-person group, subjects either played a one-trial Public Good Dilemma or a one-trial Resource Dilemma. In the Public Good Dilemma, members learned that they were endowed with a certain number of points and that they could obtain a bonus if as a group they could take more than 120 points. In the Resource Dilemma, members learned that they could take points from a certain source and that they could obtain a bonus if they would leave more than 120 points in this source. In experiments 1 and 2, asymmetry of endowments was induced: In the Public Good Dilemma, two members could give twice as many points as the other two, whereas in the Resource Dilemma, two members could take twice as many points as the other two. In experiment 3, asymmetry of interests was induced: All members could give/take an equal number of points, but two members would receive 33% of the bonus whereas the other two would receive 17%. The results of these experiments show that group members tend to coordinate their choice behavior differently in these two dilemma situations. Members playing a Public Good Dilemma tend to give in proportion to their endowments or interest position. Members playing a Resource Dilemma coordinate choice behavior in a way that minimizes differences in final outcomes.",,Journal of Experimental Social Psychology,31,1,118,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
74,Illusions of efficacy: The effects of group size on perceived efficacy in social dilemmas,Norbert L. Kerr,Elsevier,1989-07,10.1016/0022-1031(89)90024-3,pub.1015045367,"Several theorists have suggested that group members feel a diminished sense of self-efficacy in larger groups facing social dilemmas. Four experiments were performed to explore this question. In Experiment 1 it was demonstrated that group members correctly perceive that self-efficacy declines with group size for step-level public goods problems. In Experiments 2 and 3, group size was objectively unrelated to the subjects' impact on the group's chances for obtaining a public good. But in both experiments, subjects still felt more self-efficacious when the group was smaller. A final experiment explored the relationship between group size and perceived collective efficacy for obtaining a public good. When the provision point was relatively low (viz., one-third of the group had to contribute to provide the public good), subjects generally perceived smaller groups to be more efficacious than larger groups, even though under certain conditions precisely the opposite was true. These illusions of efficacy were attributed to familiar judgmental heuristics, involving an overgeneralization of experience in groups of varying sizes. Their implications for cooperative behavior in social dilemmas are discussed.",,Journal of Experimental Social Psychology,25,4,172,,"['pub.1037087187', 'pub.1030204990', 'pub.1013955276', 'pub.1090450117', 'pub.1001878944', 'pub.1043001160', 'pub.1027052811', 'pub.1029770032', 'pub.1034943790', 'pub.1026011209', 'pub.1032313603', 'pub.1013429194', 'pub.1052320642', 'pub.1026734064', 'pub.1021174680', 'pub.1069641248', 'pub.1069967636', 'pub.1041228621', 'pub.1037007123', 'pub.1032129695', 'pub.1102895442', 'pub.1034977559', 'pub.1000397883', 'pub.1010141235', 'pub.1005192911', 'pub.1044964531', 'pub.1053759201', 'pub.1046284315', 'pub.1032552984', 'pub.1011762497', 'pub.1016236028', 'pub.1020060348', 'pub.1002026222', 'pub.1047735361', 'pub.1069734041', 'pub.1006190014', 'pub.1005986080', 'pub.1039180689', 'pub.1043206332', 'pub.1019885598', 'pub.1058601586', 'pub.1033036737', 'pub.1000541601']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
75,Privately provided public goods in a large economy: The limits of altruism,James Andreoni,Elsevier,1988-02,10.1016/0047-2727(88)90061-8,pub.1032328463,"Private charity has often been modelled as a pure public good. The results reported in this paper, however, suggest that this model of altruism fails to confirm even the broadest empirical observations about charity. In particular, as the size of the economy grows, the fraction contributing to the public good diminishes to zero. This and other results imply that this approach leads to a very limited model with little, if any, predictive power. A truly descriptive model of privately provided public goods must be generalized to include other non-altruistic motives for giving.",,Journal of Public Economics,35,1,540,,"['pub.1058574832', 'pub.1099541187', 'pub.1049883450', 'pub.1069846227', 'pub.1058574944', 'pub.1058573746', 'pub.1069639452', 'pub.1006131401', 'pub.1019855998', 'pub.1042205385', 'pub.1069640761', 'pub.1031040576', 'pub.1024215101', 'pub.1050863386', 'pub.1027713329', 'pub.1032629432', 'pub.1069667650', 'pub.1058573189', 'pub.1032066360', 'pub.1069753209', 'pub.1058574693', 'pub.1136378150', 'pub.1043072068', 'pub.1014466053', 'pub.1069846090']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
76,Suckers or Saviors? Consistent Contributors in Social Dilemmas,"J. Mark Weber, J. Keith Murnighan",American Psychological Association (APA),2008-12,10.1037/a0012454,pub.1045470760,"Groups and organizations face a fundamental problem: They need cooperation but their members have incentives to free ride. Empirical research on this problem has often been discouraging, and economic models suggest that solutions are unlikely or unstable. In contrast, the authors present a model and 4 studies that show that an unwaveringly consistent contributor can effectively catalyze cooperation in social dilemmas. The studies indicate that consistent contributors occur naturally, and their presence in a group causes others to contribute more and cooperate more often, with no apparent cost to the consistent contributor and often gain. These positive effects seem to result from a consistent contributor's impact on group members' cooperative inferences about group norms.",,Journal of Personality and Social Psychology,95,6,76,"['Adult', 'Cooperative Behavior', 'Decision Making', 'Female', 'Humans', 'Male', 'Social Behavior', 'Social Identification']","['pub.1069908724', 'pub.1019238347', 'pub.1064531158', 'pub.1014031821', 'pub.1040529180', 'pub.1069757815', 'pub.1031873810', 'pub.1036284779', 'pub.1003444238', 'pub.1064222221', 'pub.1058548165', 'pub.1058697806', 'pub.1070972833', 'pub.1063625933', 'pub.1036486759', 'pub.1049120330', 'pub.1062529991', 'pub.1127642305', 'pub.1049584803', 'pub.1040289767', 'pub.1023333324', 'pub.1037103353', 'pub.1063626363', 'pub.1019680597', 'pub.1058602752', 'pub.1031251345', 'pub.1005874029', 'pub.1053410966', 'pub.1050711283', 'pub.1045342967', 'pub.1010694394', 'pub.1069908142', 'pub.1026656856', 'pub.1053800828', 'pub.1002501103', 'pub.1046945324', 'pub.1063626339', 'pub.1062452064', 'pub.1026004121', 'pub.1026115854', 'pub.1069908660', 'pub.1050152626', 'pub.1013458447', 'pub.1003894630', 'pub.1058546994', 'pub.1037493457', 'pub.1020622896', 'pub.1081028532', 'pub.1070069775', 'pub.1043872666', 'pub.1025122948', 'pub.1038155293', 'pub.1021451974', 'pub.1072899156', 'pub.1072896085']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
77,"Experiments on the Provision of Public Goods. I. Resources, Interest, Group Size, and the Free-Rider Problem","Gerald Marwell, Ruth E. Ames",University of Chicago Press,1979-05,10.1086/226937,pub.1058546435,,,American Journal of Sociology,84,6,449,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
78,Motivation losses in small groups: A social dilemma analysis,Norbert L. Kerr,American Psychological Association (APA),1983,10.1037/0022-3514.45.4.819,pub.1028038344,"A theory developed to account for behavior in social dilemmas––situations in which the rational pursuit of self-interest can lead to collective disaster––was applied to the analysis of group motivation losses. Two group motivation loss effects demonstrated in previous research, the social-loafing effect and the free-rider effect, are shown to follow from social dilemma theories. An experiment with 75 undergraduates was performed to empirically demonstrate a 3rd motivation loss effect, termed the ""sucker"" effect. It was hypothesized that group members would reduce their efforts if they had a capable partner who free-rode on their efforts, that is, who was capable of contributing to the group but would not. This prediction was confirmed. The effect was particularly strong in males. Potential remedies for such motivation losses are discussed. (23 ref)",,Journal of Personality and Social Psychology,45,4,486,,"['pub.1002026222', 'pub.1037087187', 'pub.1008951764']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
79,"Tolerance of free-riding: The effects of defection size, defection pattern, and social orientation in a repeated public goods dilemma","Xiao-Ping Chen, Daniel G Bachrach",Elsevier,2003-01,10.1016/s0749-5978(02)00511-3,pub.1010560123,"Tolerance of free riding is defined as “the extent to which group members are willing to continue cooperation after observing other members’ defection behavior in a social dilemma.” We hypothesized that defection size (number of other members who defect), defection pattern (how other members’ defection choices are repeated), and social orientation (individual preference for different distributions of resources for self and/or others) would influence members’ level of tolerance in a repeated public goods dilemma. One hundred and ten business students participated in a computerized laboratory experiment in which four conditions were created: the same one (or two) members defect over all trials—a fixed pattern, or a different one (or two) members defect on different trials—a diffused pattern. Results show that the effects of social orientation and defection size were initially significant but diminished over trials. In contrast, the effects of defection pattern became increasingly significant over trials. Specifically, we found that members’ tolerance level was significantly higher in conditions where a diffused rather than a fixed pattern of defection was observed. A “perceived impact” hypothesis was proposed to explain these results.","The authors thank Winton Au, Terence Mitchell, Madan Pillutla and the two anonymous reviewers for their constructive comments on an earlier version of the paper. This study was partially sponsored by the Center for Experimental Business Research at HKUST Hong Kong RGC Central Allocation Scheme (CA98/99.BM01). Part of the study has been presented at the annual meeting of the Society for Judgment and Decision Making in Los Angeles, 1999.",Organizational Behavior and Human Decision Processes,90,1,30,,"['pub.1003934523', 'pub.1031873810', 'pub.1004025606', 'pub.1002555828', 'pub.1019590876', 'pub.1069908458', 'pub.1015045367', 'pub.1024201863', 'pub.1098695330', 'pub.1006727507', 'pub.1026291002', 'pub.1004502860', 'pub.1044355197', 'pub.1058751458', 'pub.1035715781', 'pub.1011343128', 'pub.1032532218', 'pub.1000543132', 'pub.1013702671', 'pub.1033036737', 'pub.1036089586']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
80,Why prosocials exhibit greater cooperation than proselfs: the roles of social responsibility and reciprocity,"David De Cremer, Paul A. M. Van Lange",SAGE Publications,2001-11,10.1002/per.418,pub.1003749494,"Two studies examined the choice differences between prosocials and proselfs by examining the influence of norms of social responsibility and reciprocity. In line with the integrative model of social value orientation, it was expected that prosocials differ from proselfs in their level of cooperation because they wish to maximize own and other's outcomes (i.e. paralleling the norm of social responsibility) and enhance equality in outcomes (i.e. paralleling the norm of reciprocity). Study 1 revealed that prosocials felt more responsible to further the group's interest than proselfs did and this social responsibility feeling appeared to account for choice differences. Study 2 revealed that prosocials were more likely to reciprocate their partner's actions than were proselfs. Also, feelings of social responsibility did not account for this observation, suggesting that enhancing joint outcomes and equality in outcomes constitute two relatively independent dimensions. The findings are discussed in light of the integrative model of social value orientation. Copyright © 2001 John Wiley & Sons, Ltd.",,European Journal of Personality,15,1_suppl,181,,"['pub.1050617223', 'pub.1070065307', 'pub.1014031821', 'pub.1007590264', 'pub.1036089586', 'pub.1021966281', 'pub.1003400446', 'pub.1043186922', 'pub.1003444238', 'pub.1051504987', 'pub.1041187636', 'pub.1026694145', 'pub.1004695039', 'pub.1024948413', 'pub.1012917368', 'pub.1006674865', 'pub.1013352971', 'pub.1011725291', 'pub.1039202528', 'pub.1004915033', 'pub.1011686955', 'pub.1040665583', 'pub.1039723474', 'pub.1042733896', 'pub.1046737384', 'pub.1011343128', 'pub.1002735289', 'pub.1026004121', 'pub.1058578209', 'pub.1050152626', 'pub.1017267841', 'pub.1016493073', 'pub.1049051451', 'pub.1032406895', 'pub.1025293489', 'pub.1069754544', 'pub.1013702671', 'pub.1025122948', 'pub.1034656943', 'pub.1016899831', 'pub.1005172059']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
81,"Decision-Induced Focusing in Social Dilemmas: Give-Some, Keep-Some, Take-Some, and Leave-Some Dilemmas","Eric van Dijk, Henk Wilke",American Psychological Association (APA),2000-01,10.1037/0022-3514.78.1.92,pub.1019680597,"Previous research on asymmetric social dilemmas has suggested that public good dilemmas evoke different choice behaviors than do resource dilemmas. The authors propose that these differences reflect a differential focus that is dependent on the way decisions are generally presented in the dilemma types. In agreement with this, the results of 2 experimental studies suggest that, in public good dilemmas, group members are less focused on the consequences of their actions for the final outcome distribution when deciding how many endowments they give to the public good than when deciding how many endowments they keep for themselves. In resource dilemmas, group members are less focused on the final outcome distribution when deciding how many endowments they leave in the collective resource than when deciding how many endowments they take.",,Journal of Personality and Social Psychology,78,1,93,"['Adult', 'Altruism', 'Choice Behavior', 'Female', 'Group Processes', 'Humans', 'Male', 'Social Behavior', 'Social Conformity']","['pub.1012713213', 'pub.1070094020', 'pub.1070180222', 'pub.1024092571', 'pub.1031873810', 'pub.1043001160', 'pub.1019590876', 'pub.1027042951', 'pub.1045559690', 'pub.1042723142', 'pub.1034582388', 'pub.1043457829', 'pub.1043830155', 'pub.1004695039', 'pub.1043010532', 'pub.1058546435', 'pub.1025657769', 'pub.1005550954', 'pub.1013352971', 'pub.1069641248', 'pub.1001062742', 'pub.1000814921', 'pub.1070093593', 'pub.1037721036', 'pub.1069756420', 'pub.1042733896', 'pub.1017148036', 'pub.1026645443', 'pub.1069756846', 'pub.1043628798', 'pub.1032406895', 'pub.1053900756', 'pub.1035155210']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
82,The timing effect in public good games,"Susanne Abele, Karl-Martin Ehrhart",Elsevier,2005-09,10.1016/j.jesp.2004.09.004,pub.1002810773,"In public good situations, expectations concerning other persons’ moves are important and subtle cues can affect these expectations. In Experiment 1, participants in a public good game who moved simultaneously made high contributions and expected their opponents to make high contributions. However, participants who moved pseudo-sequentially (one after the other, but without knowledge of the other’s decision) expected their opponents to make medium-sized contributions, but made almost no contribution themselves. In Experiment 2, we manipulated expectations experimentally. Participants who moved simultaneously reciprocated what they expected their partners to do. Participants who moved pseudo-sequentially defected, regardless of what they expected from their opponents. Furthermore, we found that simultaneous movers were more likely than pseudo-sequential movers to conceptualize themselves and the other player as a group. This sense of groupness seemed to account partly for their inclination to reciprocate anticipated behavior.",,Journal of Experimental Social Psychology,41,5,11,,"['pub.1013989272', 'pub.1050862384', 'pub.1043211776', 'pub.1004025606', 'pub.1006126422', 'pub.1043001160', 'pub.1026355241', 'pub.1087946552', 'pub.1011002240', 'pub.1033694202', 'pub.1051959710', 'pub.1024284152', 'pub.1019592813', 'pub.1052657612', 'pub.1033603014', 'pub.1008990741', 'pub.1018429199', 'pub.1028074258', 'pub.1031251345', 'pub.1053653038', 'pub.1035662667', 'pub.1036268108', 'pub.1049547224', 'pub.1040639738', 'pub.1021179539', 'pub.1036527898', 'pub.1021880123', 'pub.1022818952', 'pub.1024898423', 'pub.1046118026', 'pub.1000489722']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
83,"All is well that ends well, at least for proselfs: emotional reactions to equality violation as a function of social value orientation","Jeroen Stouten, David de Cremer, Eric van Dijk",Wiley,2005-11,10.1002/ejsp.276,pub.1046488803,"In step-level public good dilemmas the equality rule serves as an important distribution rule to tacitly coordinate group members' decisions. In two studies, we examined the motives that may underlie the use of the equality rule. More specifically, we examined whether people use the equality rule out of fairness concerns or out of efficiency concerns. For this purpose, we assessed people's emotional reactions toward a violator of the equality rule when the group succeeded vs. failed, as a function of social value orientation. The results of both experiments showed that proselfs' emotional reactions towards a violator were a function of the success or the failure of the group, whereas prosocials' emotional reactions did not vary as a function of the outcome feedback. These results suggest that prosocials prefer the equality rule out of fairness concerns whereas for proselfs efficiency concerns dominate. Copyright © 2005 John Wiley & Sons, Ltd.",,European Journal of Social Psychology,35,6,88,,"['pub.1047096574', 'pub.1024221097', 'pub.1012713213', 'pub.1031873810', 'pub.1045714143', 'pub.1027042951', 'pub.1044099749', 'pub.1024012146', 'pub.1042723142', 'pub.1063740141', 'pub.1034582388', 'pub.1043010532', 'pub.1040326320', 'pub.1006674865', 'pub.1005550954', 'pub.1053369204', 'pub.1003749494', 'pub.1001062742', 'pub.1019680597', 'pub.1004915033', 'pub.1034468766', 'pub.1018429199', 'pub.1032933134', 'pub.1063741230', 'pub.1061834511', 'pub.1010090480', 'pub.1001997021', 'pub.1042653274', 'pub.1011343128', 'pub.1004837823', 'pub.1050152626', 'pub.1048764091', 'pub.1017267841', 'pub.1099251430', 'pub.1019340663', 'pub.1035222950', 'pub.1031881889', 'pub.1003206459', 'pub.1049051451', 'pub.1025293489', 'pub.1064218746', 'pub.1028355711', 'pub.1013702671', 'pub.1051504987', 'pub.1049012862']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
84,"Primary, Secondary, and Meta-Analysis of Research1",GENE V GLASS,American Educational Research Association (AERA),1976-11,10.3102/0013189x005010003,pub.1009002498,,,Educational Researcher,5,10,3120,,"['pub.1045191211', 'pub.1015310358', 'pub.1070969811', 'pub.1002321714', 'pub.1070969769', 'pub.1069389396', 'pub.1070969685', 'pub.1070969279']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
85,Focal points in pure coordination games: An experimental investigation,"Judith Mehta, Chris Starmer, Robert Sugden",Springer Nature,1994-03,10.1007/bf01079211,pub.1048483869,"This paper reports an experimental investigation of the hypothesis that in coordination games, players draw on shared concepts of salience to identify ‘focal points’ on which they can coordinate. The experiment involves games in which equilibria can be distinguished from one another only in terms of the way strategies are labelled. The games are designed to test a number of specific hypotheses about the determinants of salience. These hypotheses are generally confirmed by the results of the experiment.",,Theory and Decision,36,2,116,,"['pub.1035789592', 'pub.1020079535', 'pub.1069847506', 'pub.1058606193', 'pub.1070139855', 'pub.1069834800', 'pub.1090205937', 'pub.1030980301', 'pub.1070146001', 'pub.1019856100', 'pub.1054781939', 'pub.1069639800', 'pub.1129459828', 'pub.1054886947', 'pub.1070146002']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
86,Charismatic Leadership and Cooperation in Social Dilemmas: A Matter of Transforming Motives?1,David De Cremer,Wiley,2002-05,10.1111/j.1559-1816.2002.tb00252.x,pub.1005782787,"The present experiment examined whether leaders high in charisma are able to motivate decision-makers to cooperate more in a public goods dilemma. On the basis of charismatic leadership theories, it was expected that a charismatic leader would be able to transform people's motives beyond self-interest, consequently increasing cooperation. This transformation effect was expected to occur among individuals aimed at maximizing their own self-interest (i.e., pro-selfs), but not among those aimed at maximizing joint or collective outcomes (i.e., pro-socials). Furthermore, leader's charisma was experimentally manipulated by means of describing the leader as either self-sacrificing or benefiting. The results revealed that self-sacrificing leaders, contrary to benefiting leaders, were perceived as more charismatic and were able to motivate decision-makers to cooperate more. The latter effect appeared to be more pronounced among pro-selfs rather than pro-socials, as such supporting the transformational idea of charismatic leaders. Further results showed that this behavioral effect was mediated by perceptions of legitimacy. The meaning and conception of charismatic leadership in decision-making situations are discussed by using insights from the social dilemma and charismatic leadership literature.",,Journal of Applied Social Psychology,32,5,64,,"['pub.1050617223', 'pub.1070006519', 'pub.1014031821', 'pub.1040529180', 'pub.1007590264', 'pub.1038492659', 'pub.1042723142', 'pub.1064222158', 'pub.1073310413', 'pub.1031894890', 'pub.1053503752', 'pub.1044806255', 'pub.1026694145', 'pub.1032088172', 'pub.1006674865', 'pub.1027032646', 'pub.1004915033', 'pub.1011686955', 'pub.1023419539', 'pub.1073300827', 'pub.1011552648', 'pub.1027462921', 'pub.1033036737', 'pub.1000773118', 'pub.1011343128', 'pub.1063626303', 'pub.1063626432', 'pub.1016236028', 'pub.1046737384', 'pub.1050152626', 'pub.1017267841', 'pub.1064733492', 'pub.1022818952', 'pub.1001835066', 'pub.1069993430', 'pub.1015929350', 'pub.1023600022', 'pub.1025293489', 'pub.1011376682', 'pub.1013702671', 'pub.1025122948', 'pub.1063626398', 'pub.1015722425', 'pub.1036089586']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
87,Intergroup Competition for the Provision of Binary Public Goods,"Amnon Rapoport, Gary Bornstein",American Psychological Association (APA),1987-07,10.1037/0033-295x.94.3.291,pub.1033593429,"An experimental paradigm is proposed for investigating interpersonal conflicts under conditions of intergroup competition. The paradigm constitutes an n-person game with imperfect and incomplete information in which the n players are divided into two groups, are each assigned monetary endowment, and must then decide independently and anonymously whether to keep the endowment or contribute it to the group's benefit. The group with the larger sum of contributions is provided with a monetary reward (binary public good), which is shared equally among all of its members regardless of their decision. Two alternative models are proposed and their testable implications are derived and discussed. Both assume maximization of expected utility, but their assumptions about the expectations each player holds about the decisions of the remaining players are different. The effects of predecisional communication are examined and several extensions of the basic paradigm are outlined.",,Psychological Review,94,3,74,,"['pub.1037087187', 'pub.1000248025', 'pub.1035992187', 'pub.1021618803', 'pub.1033793710', 'pub.1038279697', 'pub.1011406292', 'pub.1013955276', 'pub.1025937162', 'pub.1038396774', 'pub.1005336122', 'pub.1043001160', 'pub.1028836156', 'pub.1031654728', 'pub.1033036737', 'pub.1005415554', 'pub.1027152293']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
